,Unique,X,DOI,ForeName,Middle1,Middle2,LastName,Order,PMID,Journal,CitationCount,PackGender,GenderizeRGender,GenderCon,Year,DateReceived,DatePublished,Field
2472,SarahMelzer34610277,12,10.1016/j.cell.2021.09.013,Sarah,,,Melzer,1,34610277,Cell,4,F,F,F,2021,23-Oct-20,28-Oct-21,Biology
664,ElenaNewmark34610277,7,10.1016/j.cell.2021.09.013,Elena,R,,Newmark,2,34610277,Cell,4,F,F,F,2021,23-Oct-20,28-Oct-21,Biology
867,GraceMizuno34610277,10,10.1016/j.cell.2021.09.013,Grace,Or,,Mizuno,3,34610277,Cell,4,F,F,F,2021,23-Oct-20,28-Oct-21,Biology
1804,MinsukHyun34610277,11,10.1016/j.cell.2021.09.013,Minsuk,,,Hyun,4,34610277,Cell,4,,M,M,2021,23-Oct-20,28-Oct-21,Biology
26,AdriennePhilson34610277,5,10.1016/j.cell.2021.09.013,Adrienne,C,,Philson,5,34610277,Cell,4,F,F,F,2021,23-Oct-20,28-Oct-21,Biology
666,EleonoraQuiroli34610277,3,10.1016/j.cell.2021.09.013,Eleonora,,,Quiroli,6,34610277,Cell,4,F,F,F,2021,23-Oct-20,28-Oct-21,Biology
297,BeatriceRighetti34610277,6,10.1016/j.cell.2021.09.013,Beatrice,,,Righetti,7,34610277,Cell,4,F,F,F,2021,23-Oct-20,28-Oct-21,Biology
1592,MalikaGregory34610277,1,10.1016/j.cell.2021.09.013,Malika,R,,Gregory,8,34610277,Cell,4,F,F,F,2021,23-Oct-20,28-Oct-21,Biology
1380,KeeHuang34610277,9,10.1016/j.cell.2021.09.013,Kee,Wui,,Huang,9,34610277,Cell,4,M,M,M,2021,23-Oct-20,28-Oct-21,Biology
1053,JamesLevasseur34610277,2,10.1016/j.cell.2021.09.013,James,,,Levasseur,10,34610277,Cell,4,M,M,M,2021,23-Oct-20,28-Oct-21,Biology
1521,LinTian34610277,8,10.1016/j.cell.2021.09.013,Lin,,,Tian,11,34610277,Cell,4,F,F,F,2021,23-Oct-20,28-Oct-21,Biology
314,BernardoSabatini34610277,4,10.1016/j.cell.2021.09.013,Bernardo,L,,Sabatini,12,34610277,Cell,4,M,M,M,2021,23-Oct-20,28-Oct-21,Biology
2220,PeterChen34653350,18,10.1016/j.cell.2021.09.018,Peter,J,,Chen,1,34653350,Cell,0,M,M,M,2021,6-Jun-21,14-Oct-21,Biology
1097,JeffreyHussmann34653350,17,10.1016/j.cell.2021.09.018,Jeffrey,A,,Hussmann,2,34653350,Cell,0,M,M,M,2021,6-Jun-21,14-Oct-21,Biology
1320,JunYan34653350,22,10.1016/j.cell.2021.09.018,Jun,,,Yan,3,34653350,Cell,0,M,M,M,2021,6-Jun-21,14-Oct-21,Biology
810,FriederikeKnipping34653350,15,10.1016/j.cell.2021.09.018,Friederike,,,Knipping,4,34653350,Cell,0,,F,F,2021,6-Jun-21,14-Oct-21,Biology
2267,PurnimaRavisankar34653350,26,10.1016/j.cell.2021.09.018,Purnima,,,Ravisankar,5,34653350,Cell,0,F,F,F,2021,6-Jun-21,14-Oct-21,Biology
2249,Pin-FangChen34653350,20,10.1016/j.cell.2021.09.018,Pin-Fang,,,Chen,6,34653350,Cell,0,,F,F,2021,6-Jun-21,14-Oct-21,Biology
501,CidiChen34653350,21,10.1016/j.cell.2021.09.018,Cidi,,,Chen,7,34653350,Cell,0,,F,F,2021,6-Jun-21,14-Oct-21,Biology
1056,JamesNelson34653350,13,10.1016/j.cell.2021.09.018,James,W,,Nelson,8,34653350,Cell,0,M,M,M,2021,6-Jun-21,14-Oct-21,Biology
884,GregoryNewby34653350,19,10.1016/j.cell.2021.09.018,Gregory,A,,Newby,9,34653350,Cell,0,M,M,M,2021,6-Jun-21,14-Oct-21,Biology
1835,MustafaSahin34653350,14,10.1016/j.cell.2021.09.018,Mustafa,,,Sahin,10,34653350,Cell,0,M,M,M,2021,6-Jun-21,14-Oct-21,Biology
1659,MarkOsborn34653350,16,10.1016/j.cell.2021.09.018,Mark,J,,Osborn,11,34653350,Cell,0,M,M,M,2021,6-Jun-21,14-Oct-21,Biology
1245,JonathanWeissman34653350,24,10.1016/j.cell.2021.09.018,Jonathan,S,,Weissman,12,34653350,Cell,0,M,M,M,2021,6-Jun-21,14-Oct-21,Biology
365,BrittAdamson34653350,23,10.1016/j.cell.2021.09.018,Britt,,,Adamson,13,34653350,Cell,0,M,F,F,2021,6-Jun-21,14-Oct-21,Biology
580,DavidLiu34653350,25,10.1016/j.cell.2021.09.018,David,R,,Liu,14,34653350,Cell,0,M,M,M,2021,6-Jun-21,14-Oct-21,Biology
174,AndrewModzelewski34644528,29,10.1016/j.cell.2021.09.021,Andrew,J,,Modzelewski,1,34644528,Cell,0,M,M,M,2021,23-Mar-21,12-Oct-21,Biology
2823,WanqingShao34644528,39,10.1016/j.cell.2021.09.021,Wanqing,,,Shao,2,34644528,Cell,0,,F,F,2021,23-Mar-21,12-Oct-21,Biology
1177,JingqiChen34644528,32,10.1016/j.cell.2021.09.021,Jingqi,,,Chen,3,34644528,Cell,0,,F,F,2021,23-Mar-21,12-Oct-21,Biology
191,AngusLee34644528,27,10.1016/j.cell.2021.09.021,Angus,,,Lee,4,34644528,Cell,0,M,M,M,2021,23-Mar-21,12-Oct-21,Biology
2923,XinQi34644528,28,10.1016/j.cell.2021.09.021,Xin,,,Qi,5,34644528,Cell,0,F,F,F,2021,23-Mar-21,12-Oct-21,Biology
1577,MackenzieNoon34644528,38,10.1016/j.cell.2021.09.021,Mackenzie,,,Noon,6,34644528,Cell,0,F,M,F,2021,23-Mar-21,12-Oct-21,Biology
1440,KristyTjokro34644528,30,10.1016/j.cell.2021.09.021,Kristy,,,Tjokro,7,34644528,Cell,0,F,F,F,2021,23-Mar-21,12-Oct-21,Biology
815,GabrieleSales34644528,31,10.1016/j.cell.2021.09.021,Gabriele,,,Sales,8,34644528,Cell,0,F,M,F,2021,23-Mar-21,12-Oct-21,Biology
212,AnneBiton34644528,41,10.1016/j.cell.2021.09.021,Anne,,,Biton,9,34644528,Cell,0,F,F,F,2021,23-Mar-21,12-Oct-21,Biology
244,AparnaAnand34644528,36,10.1016/j.cell.2021.09.021,Aparna,,,Anand,10,34644528,Cell,0,F,F,F,2021,23-Mar-21,12-Oct-21,Biology
2686,TerenceSpeed34644528,33,10.1016/j.cell.2021.09.021,Terence,P,,Speed,11,34644528,Cell,0,M,M,M,2021,23-Mar-21,12-Oct-21,Biology
3058,ZhenyuXuan34644528,37,10.1016/j.cell.2021.09.021,Zhenyu,,,Xuan,12,34644528,Cell,0,,M,M,2021,23-Mar-21,12-Oct-21,Biology
2745,TingWang34644528,35,10.1016/j.cell.2021.09.021,Ting,,,Wang,13,34644528,Cell,0,F,F,F,2021,23-Mar-21,12-Oct-21,Biology
572,DavideRisso34644528,34,10.1016/j.cell.2021.09.021,Davide,,,Risso,14,34644528,Cell,0,M,M,M,2021,23-Mar-21,12-Oct-21,Biology
1519,LinHe34644528,40,10.1016/j.cell.2021.09.021,Lin,,,He,15,34644528,Cell,0,F,F,F,2021,23-Mar-21,12-Oct-21,Biology
291,BarbaraGrünwald34644529,59,10.1016/j.cell.2021.09.022,Barbara,T,,Grünwald,1,34644529,Cell,0,F,F,F,2021,12-Apr-21,12-Oct-21,Biology
229,AntoineDevisme34644529,47,10.1016/j.cell.2021.09.022,Antoine,,,Devisme,2,34644529,Cell,0,M,M,M,2021,12-Apr-21,12-Oct-21,Biology
835,GeoffroyAndrieux34644529,65,10.1016/j.cell.2021.09.022,Geoffroy,,,Andrieux,3,34644529,Cell,0,,M,M,2021,12-Apr-21,12-Oct-21,Biology
785,ForamVyas34644529,44,10.1016/j.cell.2021.09.022,Foram,,,Vyas,4,34644529,Cell,0,F,F,F,2021,12-Apr-21,12-Oct-21,Biology
1378,KazeeraAliar34644529,54,10.1016/j.cell.2021.09.022,Kazeera,,,Aliar,5,34644529,Cell,0,,,F,2021,12-Apr-21,12-Oct-21,Biology
526,CurtisMcCloskey34644529,55,10.1016/j.cell.2021.09.022,Curtis,W,,McCloskey,6,34644529,Cell,0,M,M,M,2021,12-Apr-21,12-Oct-21,Biology
172,AndrewMacklin34644529,45,10.1016/j.cell.2021.09.022,Andrew,,,Macklin,7,34644529,Cell,0,M,M,M,2021,12-Apr-21,12-Oct-21,Biology
897,GunJang34644529,56,10.1016/j.cell.2021.09.022,Gun,Ho,,Jang,8,34644529,Cell,0,,M,M,2021,12-Apr-21,12-Oct-21,Biology
2371,RobertDenroche34644529,53,10.1016/j.cell.2021.09.022,Robert,,,Denroche,9,34644529,Cell,0,M,M,M,2021,12-Apr-21,12-Oct-21,Biology
1201,JoanRomero34644529,61,10.1016/j.cell.2021.09.022,Joan,Miguel,,Romero,10,34644529,Cell,0,F,M,M,2021,12-Apr-21,12-Oct-21,Biology
2261,PrashantBavi34644529,62,10.1016/j.cell.2021.09.022,Prashant,,,Bavi,11,34644529,Cell,0,M,M,M,2021,12-Apr-21,12-Oct-21,Biology
2219,PeterBronsert34644529,58,10.1016/j.cell.2021.09.022,Peter,,,Bronsert,12,34644529,Cell,0,M,M,M,2021,12-Apr-21,12-Oct-21,Biology
751,FaiyazNotta34644529,43,10.1016/j.cell.2021.09.022,Faiyaz,,,Notta,13,34644529,Cell,0,M,M,M,2021,12-Apr-21,12-Oct-21,Biology
869,GrainneO'Kane34644529,51,10.1016/j.cell.2021.09.022,Grainne,,,O'Kane,14,34644529,Cell,0,F,F,F,2021,12-Apr-21,12-Oct-21,Biology
1308,JulieWilson34644529,50,10.1016/j.cell.2021.09.022,Julie,,,Wilson,15,34644529,Cell,0,F,F,F,2021,12-Apr-21,12-Oct-21,Biology
1102,JenniferKnox34644529,42,10.1016/j.cell.2021.09.022,Jennifer,,,Knox,16,34644529,Cell,0,F,F,F,2021,12-Apr-21,12-Oct-21,Biology
1468,LauraTamblyn34644529,60,10.1016/j.cell.2021.09.022,Laura,,,Tamblyn,17,34644529,Cell,0,F,F,F,2021,12-Apr-21,12-Oct-21,Biology
1820,MollyUdaskin34644529,64,10.1016/j.cell.2021.09.022,Molly,,,Udaskin,18,34644529,Cell,0,F,F,F,2021,12-Apr-21,12-Oct-21,Biology
1903,NikolinaRadulovich34644529,52,10.1016/j.cell.2021.09.022,Nikolina,,,Radulovich,19,34644529,Cell,0,F,F,F,2021,12-Apr-21,12-Oct-21,Biology
2460,SandraFischer34644529,48,10.1016/j.cell.2021.09.022,Sandra,E,,Fischer,20,34644529,Cell,0,F,F,F,2021,12-Apr-21,12-Oct-21,Biology
1738,MelanieBoerries34644529,63,10.1016/j.cell.2021.09.022,Melanie,,,Boerries,21,34644529,Cell,0,F,F,F,2021,12-Apr-21,12-Oct-21,Biology
2616,StevenGallinger34644529,49,10.1016/j.cell.2021.09.022,Steven,,,Gallinger,22,34644529,Cell,0,M,M,M,2021,12-Apr-21,12-Oct-21,Biology
2705,ThomasKislinger34644529,57,10.1016/j.cell.2021.09.022,Thomas,,,Kislinger,23,34644529,Cell,0,M,M,M,2021,12-Apr-21,12-Oct-21,Biology
2319,RamaKhokha34644529,46,10.1016/j.cell.2021.09.022,Rama,,,Khokha,24,34644529,Cell,0,F,F,F,2021,12-Apr-21,11-Oct-21,Biology
353,BrendanLehnert34637701,68,10.1016/j.cell.2021.09.023,Brendan,P,,Lehnert,1,34637701,Cell,0,M,M,M,2021,3-Feb-21,11-Oct-21,Biology
406,CelineSantiago34637701,66,10.1016/j.cell.2021.09.023,Celine,,,Santiago,2,34637701,Cell,0,F,F,F,2021,3-Feb-21,11-Oct-21,Biology
709,EricaHuey34637701,76,10.1016/j.cell.2021.09.023,Erica,L,,Huey,3,34637701,Cell,0,F,F,F,2021,3-Feb-21,11-Oct-21,Biology
49,AlanEmanuel34637701,77,10.1016/j.cell.2021.09.023,Alan,J,,Emanuel,4,34637701,Cell,0,M,M,M,2021,3-Feb-21,11-Oct-21,Biology
2588,SophiaRenauld34637701,71,10.1016/j.cell.2021.09.023,Sophia,,,Renauld,5,34637701,Cell,0,F,F,F,2021,3-Feb-21,11-Oct-21,Biology
1926,NusratAfricawala34637701,74,10.1016/j.cell.2021.09.023,Nusrat,,,Africawala,6,34637701,Cell,0,F,F,F,2021,3-Feb-21,11-Oct-21,Biology
1014,IlaydaAlkislar34637701,79,10.1016/j.cell.2021.09.023,Ilayda,,,Alkislar,7,34637701,Cell,0,F,F,F,2021,3-Feb-21,11-Oct-21,Biology
2954,YangZheng34637701,67,10.1016/j.cell.2021.09.023,Yang,,,Zheng,8,34637701,Cell,0,M,M,M,2021,3-Feb-21,11-Oct-21,Biology
1512,LingBai34637701,72,10.1016/j.cell.2021.09.023,Ling,,,Bai,9,34637701,Cell,0,F,F,F,2021,3-Feb-21,11-Oct-21,Biology
413,CharalampiaKoutsioumpa34637701,78,10.1016/j.cell.2021.09.023,Charalampia,,,Koutsioumpa,10,34637701,Cell,0,,F,F,2021,3-Feb-21,11-Oct-21,Biology
1101,JenniferHong34637701,75,10.1016/j.cell.2021.09.023,Jennifer,T,,Hong,11,34637701,Cell,0,F,F,F,2021,3-Feb-21,11-Oct-21,Biology
84,AlexandraMagee34637701,69,10.1016/j.cell.2021.09.023,Alexandra,R,,Magee,12,34637701,Cell,0,F,F,F,2021,3-Feb-21,11-Oct-21,Biology
482,ChristopherHarvey34637701,70,10.1016/j.cell.2021.09.023,Christopher,D,,Harvey,13,34637701,Cell,0,M,M,M,2021,3-Feb-21,11-Oct-21,Biology
574,DavidGinty34637701,73,10.1016/j.cell.2021.09.023,David,D,,Ginty,14,34637701,Cell,0,M,M,M,2021,3-Feb-21,11-Oct-21,Biology
821,GailCross34587491,80,10.1016/j.cell.2021.09.025,Gail,,,Cross,1,34587491,Cell,0,F,F,F,2021,21-Sep-21,21-Sep-21,Biology
1120,JessicaHo34587491,82,10.1016/j.cell.2021.09.025,Jessica,S,Y,Ho,2,34587491,Cell,0,F,F,F,2021,21-Sep-21,21-Sep-21,Biology
2867,WilliamZacharias34587491,81,10.1016/j.cell.2021.09.025,William,,,Zacharias,3,34587491,Cell,0,M,M,M,2021,21-Sep-21,21-Sep-21,Biology
127,AnandJeyasekharan34587491,84,10.1016/j.cell.2021.09.025,Anand,D,,Jeyasekharan,4,34587491,Cell,0,M,M,M,2021,21-Sep-21,21-Sep-21,Biology
1034,IvanMarazzi34587491,83,10.1016/j.cell.2021.09.025,Ivan,,,Marazzi,5,34587491,Cell,0,M,M,M,2021,21-Sep-21,21-Sep-21,Biology
301,BeiLiu34637702,91,10.1016/j.cell.2021.09.026,Bei,,,Liu,1,34637702,Cell,0,,F,F,2021,21-Sep-21,21-Sep-21,Biology
1946,OrrinStone34637702,87,10.1016/j.cell.2021.09.026,Orrin,J,,Stone,2,34637702,Cell,0,M,M,M,2021,21-Sep-21,21-Sep-21,Biology
1770,MichaelPablo34637702,89,10.1016/j.cell.2021.09.026,Michael,,,Pablo,3,34637702,Cell,0,M,M,M,2021,21-Sep-21,21-Sep-21,Biology
1129,JHerron34637702,92,10.1016/j.cell.2021.09.026,J,Cody,,Herron,4,34637702,Cell,0,,,M,2021,21-Sep-21,21-Sep-21,Biology
129,AnaNogueira34637702,86,10.1016/j.cell.2021.09.026,Ana,T,,Nogueira,5,34637702,Cell,0,F,F,F,2021,21-Sep-21,21-Sep-21,Biology
1941,OnurDagliyan34637702,85,10.1016/j.cell.2021.09.026,Onur,,,Dagliyan,6,34637702,Cell,0,M,M,M,2021,21-Sep-21,21-Sep-21,Biology
1241,JonathanGrimm34637702,94,10.1016/j.cell.2021.09.026,Jonathan,B,,Grimm,7,34637702,Cell,0,M,M,M,2021,21-Sep-21,21-Sep-21,Biology
1570,LukeLavis34637702,93,10.1016/j.cell.2021.09.026,Luke,D,,Lavis,8,34637702,Cell,0,M,M,M,2021,21-Sep-21,21-Sep-21,Biology
2735,TimothyElston34637702,88,10.1016/j.cell.2021.09.026,Timothy,C,,Elston,9,34637702,Cell,0,M,M,M,2021,21-Sep-21,21-Sep-21,Biology
1425,KlausHahn34637702,90,10.1016/j.cell.2021.09.026,Klaus,M,,Hahn,10,34637702,Cell,0,M,M,M,2021,21-Sep-21,21-Sep-21,Biology
1167,JincaiShi34644527,100,10.1016/j.cell.2021.09.030,Jincai,,,Shi,1,34644527,Cell,0,,M,M,2021,16-Jan-21,12-Oct-21,Biology
345,BoyuZhao34644527,99,10.1016/j.cell.2021.09.030,Boyu,,,Zhao,2,34644527,Cell,0,,M,M,2021,16-Jan-21,12-Oct-21,Biology
2548,ShuangZheng34644527,102,10.1016/j.cell.2021.09.030,Shuang,,,Zheng,3,34644527,Cell,0,,F,F,2021,16-Jan-21,12-Oct-21,Biology
2905,XiaoweiZhang34644527,101,10.1016/j.cell.2021.09.030,Xiaowei,,,Zhang,4,34644527,Cell,0,,M,M,2021,16-Jan-21,12-Oct-21,Biology
2894,XiaolinWang34644527,96,10.1016/j.cell.2021.09.030,Xiaolin,,,Wang,5,34644527,Cell,0,,F,F,2021,16-Jan-21,12-Oct-21,Biology
2856,WentaoDong34644527,97,10.1016/j.cell.2021.09.030,Wentao,,,Dong,6,34644527,Cell,0,,M,M,2021,16-Jan-21,12-Oct-21,Biology
2288,QiujinXie34644527,105,10.1016/j.cell.2021.09.030,Qiujin,,,Xie,7,34644527,Cell,0,,F,F,2021,16-Jan-21,12-Oct-21,Biology
823,GangWang34644527,104,10.1016/j.cell.2021.09.030,Gang,,,Wang,8,34644527,Cell,0,,M,M,2021,16-Jan-21,12-Oct-21,Biology
3031,YunpingXiao34644527,98,10.1016/j.cell.2021.09.030,Yunping,,,Xiao,9,34644527,Cell,0,,M,M,2021,16-Jan-21,12-Oct-21,Biology
754,FanChen34644527,103,10.1016/j.cell.2021.09.030,Fan,,,Chen,10,34644527,Cell,0,F,M,F,2021,16-Jan-21,12-Oct-21,Biology
1850,NanYu34644527,95,10.1016/j.cell.2021.09.030,Nan,,,Yu,11,34644527,Cell,0,F,F,F,2021,16-Jan-21,12-Oct-21,Biology
722,ErtaoWang34644527,106,10.1016/j.cell.2021.09.030,Ertao,,,Wang,12,34644527,Cell,0,,M,M,2021,16-Jan-21,12-Oct-21,Biology
1913,NitzanTal34644530,111,10.1016/j.cell.2021.09.031,Nitzan,,,Tal,1,34644530,Cell,8,,M,M,2021,30-Jun-21,12-Oct-21,Biology
306,BenjaminMorehouse34644530,119,10.1016/j.cell.2021.09.031,Benjamin,R,,Morehouse,2,34644530,Cell,8,M,M,M,2021,30-Jun-21,12-Oct-21,Biology
16,AdiMillman34644530,121,10.1016/j.cell.2021.09.031,Adi,,,Millman,3,34644530,Cell,8,F,M,F,2021,30-Jun-21,12-Oct-21,Biology
279,AvigailStokar-Avihail34644530,109,10.1016/j.cell.2021.09.031,Avigail,,,Stokar-Avihail,4,34644530,Cell,8,F,F,F,2021,30-Jun-21,12-Oct-21,Biology
388,CarmelAvraham34644530,110,10.1016/j.cell.2021.09.031,Carmel,,,Avraham,5,34644530,Cell,8,F,F,F,2021,30-Jun-21,12-Oct-21,Biology
2678,TayaFedorenko34644530,122,10.1016/j.cell.2021.09.031,Taya,,,Fedorenko,6,34644530,Cell,8,F,F,F,2021,30-Jun-21,12-Oct-21,Biology
708,ErezYirmiya34644530,117,10.1016/j.cell.2021.09.031,Erez,,,Yirmiya,7,34644530,Cell,8,M,M,M,2021,30-Jun-21,12-Oct-21,Biology
657,EhudHerbst34644530,108,10.1016/j.cell.2021.09.031,Ehud,,,Herbst,8,34644530,Cell,8,M,M,M,2021,30-Jun-21,12-Oct-21,Biology
68,AlexanderBrandis34644530,116,10.1016/j.cell.2021.09.031,Alexander,,,Brandis,9,34644530,Cell,8,M,M,M,2021,30-Jun-21,12-Oct-21,Biology
2689,TevieMehlman34644530,112,10.1016/j.cell.2021.09.031,Tevie,,,Mehlman,10,34644530,Cell,8,,M,M,2021,30-Jun-21,12-Oct-21,Biology
2947,YaaraOppenheimer-Shaanan34644530,118,10.1016/j.cell.2021.09.031,Yaara,,,Oppenheimer-Shaanan,11,34644530,Cell,8,F,F,F,2021,30-Jun-21,12-Oct-21,Biology
72,AlexanderKeszei34644530,114,10.1016/j.cell.2021.09.031,Alexander,F,A,Keszei,12,34644530,Cell,8,M,M,M,2021,30-Jun-21,12-Oct-21,Biology
2559,SichenShao34644530,115,10.1016/j.cell.2021.09.031,Sichen,,,Shao,13,34644530,Cell,8,,M,M,2021,30-Jun-21,12-Oct-21,Biology
849,GilAmitai34644530,107,10.1016/j.cell.2021.09.031,Gil,,,Amitai,14,34644530,Cell,8,M,M,M,2021,30-Jun-21,12-Oct-21,Biology
2239,PhilipKranzusch34644530,113,10.1016/j.cell.2021.09.031,Philip,J,,Kranzusch,15,34644530,Cell,8,M,M,M,2021,30-Jun-21,12-Oct-21,Biology
2414,RotemSorek34644530,120,10.1016/j.cell.2021.09.031,Rotem,,,Sorek,16,34644530,Cell,8,F,M,M,2021,30-Jun-21,12-Oct-21,Biology
432,ChenShen34678144,129,10.1016/j.cell.2021.09.032,Chen,,,Shen,1,34678144,Cell,0,M,M,M,2021,NA,12-Oct-21,Biology
2429,RunzhiLi34678144,133,10.1016/j.cell.2021.09.032,Runzhi,,,Li,2,34678144,Cell,0,,M,M,2021,NA,12-Oct-21,Biology
2380,RobertoNegro34678144,126,10.1016/j.cell.2021.09.032,Roberto,,,Negro,3,34678144,Cell,0,M,M,M,2021,NA,12-Oct-21,Biology
1160,JieweiCheng34678144,123,10.1016/j.cell.2021.09.032,Jiewei,,,Cheng,4,34678144,Cell,0,,M,M,2021,NA,12-Oct-21,Biology
2513,SetuVora34678144,125,10.1016/j.cell.2021.09.032,Setu,M,,Vora,5,34678144,Cell,0,,M,M,2021,NA,12-Oct-21,Biology
2720,Tian-MinFu34678144,134,10.1016/j.cell.2021.09.032,Tian-Min,,,Fu,6,34678144,Cell,0,,M,M,2021,NA,12-Oct-21,Biology
199,AnminWang34678144,136,10.1016/j.cell.2021.09.032,Anmin,,,Wang,7,34678144,Cell,0,,M,M,2021,NA,12-Oct-21,Biology
1334,KaixinHe34678144,127,10.1016/j.cell.2021.09.032,Kaixin,,,He,8,34678144,Cell,0,,F,F,2021,NA,12-Oct-21,Biology
1537,LiudmilaAndreeva34678144,131,10.1016/j.cell.2021.09.032,Liudmila,,,Andreeva,9,34678144,Cell,0,,F,F,2021,NA,12-Oct-21,Biology
2266,PuGao34678144,124,10.1016/j.cell.2021.09.032,Pu,,,Gao,10,34678144,Cell,0,,M,M,2021,NA,12-Oct-21,Biology
3062,ZhigangTian34678144,132,10.1016/j.cell.2021.09.032,Zhigang,,,Tian,11,34678144,Cell,0,,M,M,2021,NA,12-Oct-21,Biology
2357,RichardFlavell34678144,128,10.1016/j.cell.2021.09.032,Richard,A,,Flavell,12,34678144,Cell,0,M,M,M,2021,NA,12-Oct-21,Biology
2557,ShuZhu34678144,130,10.1016/j.cell.2021.09.032,Shu,,,Zhu,13,34678144,Cell,0,M,F,F,2021,NA,12-Oct-21,Biology
932,HaoWu34678144,135,10.1016/j.cell.2021.09.032,Hao,,,Wu,14,34678144,Cell,0,M,M,M,2021,NA,12-Oct-21,Biology
1564,LuisCruz-Zaragoza34672953,141,10.1016/j.cell.2021.09.033,Luis,Daniel,,Cruz-Zaragoza,1,34672953,Cell,3,M,M,M,2021,NA,20-Oct-21,Biology
2643,SvenDennerlein34672953,149,10.1016/j.cell.2021.09.033,Sven,,,Dennerlein,2,34672953,Cell,3,M,M,M,2021,NA,20-Oct-21,Biology
149,AndreasLinden34672953,137,10.1016/j.cell.2021.09.033,Andreas,,,Linden,3,34672953,Cell,3,M,M,M,2021,NA,20-Oct-21,Biology
2415,RoyaYousefi34672953,148,10.1016/j.cell.2021.09.033,Roya,,,Yousefi,4,34672953,Cell,3,F,F,F,2021,NA,20-Oct-21,Biology
663,ElenaLavdovskaia34672953,144,10.1016/j.cell.2021.09.033,Elena,,,Lavdovskaia,5,34672953,Cell,3,F,F,F,2021,NA,20-Oct-21,Biology
9,AbhishekAich34672953,142,10.1016/j.cell.2021.09.033,Abhishek,,,Aich,6,34672953,Cell,3,M,M,M,2021,NA,20-Oct-21,Biology
2332,RebeccaFalk34672953,143,10.1016/j.cell.2021.09.033,Rebecca,R,,Falk,7,34672953,Cell,3,F,F,F,2021,NA,20-Oct-21,Biology
2362,RidhimaGomkale34672953,147,10.1016/j.cell.2021.09.033,Ridhima,,,Gomkale,8,34672953,Cell,3,F,F,F,2021,NA,20-Oct-21,Biology
2711,ThomasSchöndorf34672953,140,10.1016/j.cell.2021.09.033,Thomas,,,Schöndorf,9,34672953,Cell,3,M,M,M,2021,NA,20-Oct-21,Biology
1661,MarkusBohnsack34672953,145,10.1016/j.cell.2021.09.033,Markus,T,,Bohnsack,10,34672953,Cell,3,M,M,M,2021,NA,20-Oct-21,Biology
2350,RicardaRichter-Dennerlein34672953,138,10.1016/j.cell.2021.09.033,Ricarda,,,Richter-Dennerlein,11,34672953,Cell,3,F,F,F,2021,NA,20-Oct-21,Biology
959,HenningUrlaub34672953,139,10.1016/j.cell.2021.09.033,Henning,,,Urlaub,12,34672953,Cell,3,M,M,M,2021,NA,20-Oct-21,Biology
2233,PeterRehling34672953,146,10.1016/j.cell.2021.09.033,Peter,,,Rehling,13,34672953,Cell,3,M,M,M,2021,NA,20-Oct-21,Biology
1349,KarlMiller34715021,156,10.1016/j.cell.2021.09.034,Karl,N,,Miller,1,34715021,Cell,0,M,M,M,2021,NA,28-Oct-21,Biology
2601,StellaVictorelli34715021,155,10.1016/j.cell.2021.09.034,Stella,G,,Victorelli,2,34715021,Cell,0,F,F,F,2021,NA,28-Oct-21,Biology
926,HannaSalmonowicz34715021,152,10.1016/j.cell.2021.09.034,Hanna,,,Salmonowicz,3,34715021,Cell,0,F,F,F,2021,NA,28-Oct-21,Biology
1909,NirmalyaDasgupta34715021,154,10.1016/j.cell.2021.09.034,Nirmalya,,,Dasgupta,4,34715021,Cell,0,,M,M,2021,NA,28-Oct-21,Biology
2722,TianhuiLiu34715021,151,10.1016/j.cell.2021.09.034,Tianhui,,,Liu,5,34715021,Cell,0,,M,M,2021,NA,28-Oct-21,Biology
1203,JoãoPassos34715021,153,10.1016/j.cell.2021.09.034,João,F,,Passos,6,34715021,Cell,0,,M,M,2021,NA,28-Oct-21,Biology
2216,PeterAdams34715021,150,10.1016/j.cell.2021.09.034,Peter,D,,Adams,7,34715021,Cell,0,M,M,M,2021,NA,28-Oct-21,Biology
2205,PavloGilchuk34715022,170,10.1016/j.cell.2021.09.035,Pavlo,,,Gilchuk,1,34715022,Cell,0,M,M,M,2021,6-Apr-21,28-Oct-21,Biology
415,CharlesMurin34715022,158,10.1016/j.cell.2021.09.035,Charles,D,,Murin,2,34715022,Cell,0,M,M,M,2021,6-Apr-21,28-Oct-21,Biology
2370,RobertCross34715022,165,10.1016/j.cell.2021.09.035,Robert,W,,Cross,3,34715022,Cell,0,M,M,M,2021,6-Apr-21,28-Oct-21,Biology
2243,PhilippIlinykh34715022,163,10.1016/j.cell.2021.09.035,Philipp,A,,Ilinykh,4,34715022,Cell,0,M,M,M,2021,6-Apr-21,28-Oct-21,Biology
1330,KaiHuang34715022,157,10.1016/j.cell.2021.09.035,Kai,,,Huang,5,34715022,Cell,0,M,M,M,2021,6-Apr-21,28-Oct-21,Biology
1856,NataliaKuzmina34715022,162,10.1016/j.cell.2021.09.035,Natalia,,,Kuzmina,6,34715022,Cell,0,F,F,F,2021,6-Apr-21,28-Oct-21,Biology
2813,ViktoriyaBorisevich34715022,169,10.1016/j.cell.2021.09.035,Viktoriya,,,Borisevich,7,34715022,Cell,0,F,F,F,2021,6-Apr-21,28-Oct-21,Biology
