"","ForeName","Middle1","Middle2","LastName","Order","PMID","DOI","Journal"
"2215","Samuel","","","Parry",12,"34822779","10.1016/j.cell.2021.10.026","Cell"
"2216","Samuel","N","","Young",4,"34698396","10.15252/embj.2019103718","The EMBO journal"
"2217","Sana","","","Ahmed-Seghir",2,"34533226","10.15252/embj.2020104543","The EMBO journal"
"2218","Sandeep","Robert","","Datta",15,"34715023","10.1016/j.cell.2021.10.009","Cell"
"2219","Sandeep","Robert","","Datta",6,"34879231","10.1016/j.cell.2021.11.022","Cell"
"2220","Sandeep","","","Pallikkuth",4,"34741801","10.1016/j.cell.2021.10.017","Cell"
"2221","Sandeep","K","","Singh",10,"34715025","10.1016/j.cell.2021.10.007","Cell"
"2222","Sandra","","","Adele",6,"34735795","10.1016/j.cell.2021.10.011","Cell"
"2223","Sandra","E","","Fischer",20,"34644529","10.1016/j.cell.2021.09.022","Cell"
"2224","Sangya","","","Agarwal",5,"34861191","10.1016/j.cell.2021.11.016","Cell"
"2225","Sanjay","K","","Jain",3,"34686858","10.1038/s41596-021-00613-2","Nature protocols"
"2226","Sanju","","","Sinha",7,"34709707","10.15252/msb.202110260","Molecular systems biology"
"2227","Santoshi","Biswanath","","Devadas",2,"34759383","10.1038/s41596-021-00629-8","Nature protocols"
"2228","Sara","Sadat","","Aghamiri",8,"34939300","10.15252/msb.202110851","Molecular systems biology"
"2229","Sara","B","C","Buonomo",11,"34786738","10.15252/embj.2020105862","The EMBO journal"
"2230","Sara","","","Capponi",18,"34852237","10.1016/j.cell.2021.11.023","Cell"
"2231","Sara","","","Mumtaz",14,"34904718","10.15252/embj.2020105531","The EMBO journal"
"2232","Sara","","","Timm",10,"34914922","10.1016/j.cell.2021.11.033","Cell"
"2233","Sara","A","","Väyrynen",14,"34890551","10.1016/j.cell.2021.11.017","Cell"
"2234","Sara","R","","Zwart",10,"34822785","10.1016/j.cell.2021.11.008","Cell"
"2235","Sarah","","","Avery",11,"34552262","10.1038/s41596-021-00617-y","Nature protocols"
"2236","Sarah","","","Cobey",2,"34942096","10.1016/j.cell.2021.11.013","Cell"
"2237","Sarah","","","Foulkes",35,"34735795","10.1016/j.cell.2021.10.011","Cell"
"2238","Sarah","E","","Garnish",12,"34698396","10.15252/embj.2019103718","The EMBO journal"
"2239","Sarah","","","Melzer",1,"34610277","10.1016/j.cell.2021.09.013","Cell"
"2240","Sarah","L","","Rowland-Jones",46,"34735795","10.1016/j.cell.2021.10.011","Cell"
"2241","Sarita","","","Bhetawal",14,"34533226","10.15252/embj.2020104543","The EMBO journal"
"2242","Sasha","F","","Levy",5,"34913592","10.15252/msb.202110847","Molecular systems biology"
"2243","Sashwati","","","Roy",8,"34837085","10.1038/s41596-021-00631-0","Nature protocols"
"2244","Saskia","E","","Bakker",6,"34935163","10.15252/embj.2021109728","The EMBO journal"
"2245","Saskia","","","von Stillfried",4,"34914922","10.1016/j.cell.2021.11.033","Cell"
"2246","Saule","T","","Nurmukhambetova",10,"34921774","10.1016/j.cell.2021.12.002","Cell"
"2247","Saurabh","","","Asthana",36,"34963056","10.1016/j.cell.2021.12.004","Cell"
"2248","Savita","","","Khanna",5,"34837085","10.1038/s41596-021-00631-0","Nature protocols"
"2249","Scott","","","Keeney",3,"34793701","10.1016/j.cell.2021.10.025","Cell"
"2250","Scott","R","","Manalis",42,"34890551","10.1016/j.cell.2021.11.017","Cell"
"2251","Scott","M","","Smith",9,"34822785","10.1016/j.cell.2021.11.008","Cell"
"2252","Scott","M","","Sternson",17,"34875226","10.1016/j.cell.2021.11.024","Cell"
"2253","Sean","R","","Kundinger",7,"34890553","10.1016/j.cell.2021.11.029","Cell"
"2254","Sean","G","","Megason",5,"34942099","10.1016/j.cell.2021.11.025","Cell"
"2255","Sean","A","","Merrill",8,"34758294","10.1016/j.cell.2021.10.016","Cell"
"2256","Sean","R","","Moore",19,"34704277","10.15252/embj.2020106973","The EMBO journal"
