FirstName,LastName,Order,PMID,Journal,CitationCount,Gender,Date.Received,Date.Published,Field
Qile,Chen  ,2,1408.0869v3,American Journal of Mathematics,41,F,,7-Aug-17,Mathematics
Steffen,Marcus  ,3,1408.0869v3,American Journal of Mathematics,41,M,,7-Aug-17,Mathematics
Daniela,Tonon  ,3,1409.0160v1,American Journal of Mathematics,33,F,30-Aug-14,12-Nov-15,Mathematics
Yan,Guo  ,1,1409.0160v1,American Journal of Mathematics,33,M,30-Aug-14,12-Nov-15,Mathematics
Ariane,Trescases  ,4,1409.0160v1,American Journal of Mathematics,33,F,30-Aug-14,12-Nov-15,Mathematics
Chanwoo,Kim  ,2,1409.0160v1,American Journal of Mathematics,33,M,30-Aug-14,12-Nov-15,Mathematics
Anna,Beliakova  ,1,1409.1198v1,Acta Mathematica,24,F,23-Feb-14,20-Dec-14,Mathematics
Kazuo,Habiro  ,3,1409.1198v1,Acta Mathematica,24,M,23-Feb-14,20-Dec-14,Mathematics
Aaron,D. Lauda ,4,1409.1198v1,Acta Mathematica,24,M,23-Feb-14,20-Dec-14,Mathematics
Zaur,Guliyev  ,2,1409.1198v1,Acta Mathematica,24,M,23-Feb-14,20-Dec-14,Mathematics
Ki-Ahm,Lee  ,2,1410.6323v3,American Journal of Mathematics,5,M,24-Oct-14,23-Aug-15,Mathematics
Sunghan,Kim  ,1,1410.6323v3,American Journal of Mathematics,5,M,24-Oct-14,23-Aug-15,Mathematics
Liangyun,Chen  ,2,1411.7026v1,Acta Mathematica,20,M,,7-Aug-17,Mathematics
Yan,Cao  ,1,1411.7026v1,Acta Mathematica,20,Unk,,7-Aug-17,Mathematics
Yiannis,Sakellaridis  ,3,1412.6174v4,American Journal of Mathematics,37,M,18-Dec-14,1-Feb-16,Mathematics
Alexis,Bouthier  ,1,1412.6174v4,American Journal of Mathematics,37,M,18-Dec-14,1-Feb-16,Mathematics
Ngo,Bao Chau ,2,1412.6174v4,American Journal of Mathematics,37,F,18-Dec-14,1-Feb-16,Mathematics
Zhifei,Zhang  ,2,1412.7787v4,American Journal of Mathematics,5,M,4-Nov-15,30-Mar-16,Mathematics
Yong,Lu  ,1,1412.7787v4,American Journal of Mathematics,5,M,4-Nov-15,30-Mar-16,Mathematics
Qiang,Zhang  ,1,1501.07694v1,Acta Mathematica,1,M,17-Oct-13,15-Apr-15,Mathematics
Riley,Thornton  ,1,1502.02187v3,Acta Mathematica,18,M,11-Nov-16,19-Jul-17,Mathematics
Masato,Mimura  ,1,1502.03703v4,American Journal of Mathematics,5,M,,20-Dec-17,Mathematics
Dang,Vo Phuc ,1,1502.05569v3,Acta Mathematica,19,M,18-Jan-16,25-Aug-16,Mathematics
Nguyen,Sum  ,2,1502.05569v3,Acta Mathematica,19,M,18-Jan-16,25-Aug-16,Mathematics
Andrea,Venturelli  ,2,1502.06278v1,American Journal of Mathematics,22,M,15-Jan-08,5-Sep-08,Mathematics
Ezequiel,Maderna  ,1,1502.06278v1,American Journal of Mathematics,22,M,15-Jan-08,5-Sep-08,Mathematics
Kathryn,E. Hare ,1,1503.09071v1,Acta Mathematica,1,F,1-Apr-14,5-Jun-15,Mathematics
L.,Thomas Ramsey ,2,1503.09071v1,Acta Mathematica,1,M,1-Apr-14,5-Jun-15,Mathematics
Attila,Nagy  ,1,1504.07183v2,Acta Mathematica,4,M,5-May-15,13-Dec-15,Mathematics
Patrizio,Neff  ,1,1505.02203v3,American Journal of Mathematics,79,M,13-May-15,13-Jul-16,Mathematics
Robert,J. Martin ,3,1505.02203v3,American Journal of Mathematics,79,M,13-May-15,13-Jul-16,Mathematics
Bernhard,Eidel  ,2,1505.02203v3,American Journal of Mathematics,79,M,13-May-15,13-Jul-16,Mathematics
Yannick,Bonthonneau  ,1,1505.02600v2,American Journal of Mathematics,2,M,16-Nov-15,1-Jun-18,Mathematics
Enzo,Vitillaro  ,1,1506.00910v4,American Journal of Mathematics,16,M,14-Jul-15,2-Nov-16,Mathematics
Christian,Baer  ,1,1506.00959v3,American Journal of Mathematics,35,M,3-Nov-16,1-Oct-19,Mathematics
Alexander,Strohmaier  ,2,1506.00959v3,American Journal of Mathematics,35,M,3-Nov-16,1-Oct-19,Mathematics
Giovanni,S. Alberti ,1,1507.00647v2,American Journal of Mathematics,3,M,15-May-15,23-May-16,Mathematics
Sheng,Meng  ,1,1507.02230v2,American Journal of Mathematics,30,M,19-Dec-15,1-Aug-18,Mathematics
De-Qi,Zhang  ,2,1507.02230v2,American Journal of Mathematics,30,M,19-Dec-15,1-Aug-18,Mathematics
Charlotte,Hardouin  ,2,1507.03361v3,American Journal of Mathematics,33,F,,29-Jun-18,Mathematics
Thomas,Dreyfus  ,1,1507.03361v3,American Journal of Mathematics,33,M,,29-Jun-18,Mathematics
Julien,Roques  ,3,1507.03361v3,American Journal of Mathematics,33,M,,29-Jun-18,Mathematics
Jingjun,Han  ,1,1507.07899v2,Acta Mathematica,1,M,30-Sep-15,8-May-16,Mathematics
Ji-Gen,Peng  ,4,1507.08413v3,Acta Mathematica,11,M,16-Oct-15,22-Nov-16,Mathematics
Yu-Chao,Tang  ,1,1507.08413v3,Acta Mathematica,11,M,16-Oct-15,22-Nov-16,Mathematics
Meng,Wen  ,3,1507.08413v3,Acta Mathematica,11,M,16-Oct-15,22-Nov-16,Mathematics
Chuan-Xi,Zhu  ,2,1507.08413v3,Acta Mathematica,11,M,16-Oct-15,22-Nov-16,Mathematics
David,Hoffman  ,1,1508.00064v3,Acta Mathematica,16,M,20-Jun-13,16-Nov-16,Mathematics
Brian,White  ,3,1508.00064v3,Acta Mathematica,16,M,20-Jun-13,16-Nov-16,Mathematics
Martin,Traizet  ,2,1508.00064v3,Acta Mathematica,16,M,20-Jun-13,16-Nov-16,Mathematics
Friedrich,Littmann  ,2,1508.02436v1,American Journal of Mathematics,9,M,20-Oct-14,1-Apr-17,Mathematics
Emanuel,Carneiro  ,1,1508.02436v1,American Journal of Mathematics,9,M,20-Oct-14,1-Apr-17,Mathematics
Taryn,C. Flock ,3,1508.07502v2,American Journal of Mathematics,52,F,20-Oct-15,1-Apr-18,Mathematics
Sanghyuk,Lee  ,4,1508.07502v2,American Journal of Mathematics,52,M,20-Oct-15,1-Apr-18,Mathematics
Neal,Bez  ,2,1508.07502v2,American Journal of Mathematics,52,M,20-Oct-15,1-Apr-18,Mathematics
Jonathan,Bennett  ,1,1508.07502v2,American Journal of Mathematics,52,M,20-Oct-15,1-Apr-18,Mathematics
Robert,J. Berman ,1,1509.00956v1,American Journal of Mathematics,8,M,14-Nov-15,1-Jun-18,Mathematics
Joaquim,Ortega-Cerdà  ,2,1509.00956v1,American Journal of Mathematics,8,M,14-Nov-15,1-Jun-18,Mathematics
Dirk,Hundertmark  ,2,1509.01444v2,American Journal of Mathematics,18,M,16-Dec-15,12-Apr-17,Mathematics
Jean-Marie,Barbaroux  ,1,1509.01444v2,American Journal of Mathematics,18,F,16-Dec-15,12-Apr-17,Mathematics
Semjon,Vugalter  ,4,1509.01444v2,American Journal of Mathematics,18,M,16-Dec-15,12-Apr-17,Mathematics
Tobias,Ried  ,3,1509.01444v2,American Journal of Mathematics,18,M,16-Dec-15,12-Apr-17,Mathematics
Friedrich,Knop  ,1,1509.03429v3,Acta Mathematica,18,M,30-Sep-15,1-Jun-17,Mathematics
Bernhard,Krötz  ,2,1509.03429v3,Acta Mathematica,18,M,30-Sep-15,1-Jun-17,Mathematics
Henrik,Schlichtkrull  ,3,1509.03429v3,Acta Mathematica,18,M,30-Sep-15,1-Jun-17,Mathematics
Jonathan,J. Bevan ,1,1509.08245v3,American Journal of Mathematics,6,M,21-Dec-15,11-Mar-17,Mathematics
Andre,Reznikov  ,2,1510.02963v1,American Journal of Mathematics,8,M,3-Jan-16,1-Oct-17,Mathematics
Amit,Ghosh  ,1,1510.02963v1,American Journal of Mathematics,8,M,3-Jan-16,1-Oct-17,Mathematics
Peter,Sarnak  ,3,1510.02963v1,American Journal of Mathematics,8,M,3-Jan-16,1-Oct-17,Mathematics
Ben,Williams  ,3,1510.06133v2,American Journal of Mathematics,2,M,,10-Dec-18,Mathematics
Asher,Auel  ,1,1510.06133v2,American Journal of Mathematics,2,M,,10-Dec-18,Mathematics
Uriya,A. First ,2,1510.06133v2,American Journal of Mathematics,2,M,,10-Dec-18,Mathematics
Qinglong,Zhou  ,1,1510.06822v3,American Journal of Mathematics,15,M,1-Apr-15,8-Aug-17,Mathematics
Yiming,Long  ,2,1510.06822v3,American Journal of Mathematics,15,M,1-Apr-15,8-Aug-17,Mathematics
A.,Tayebi  ,1,1510.07990v1,Acta Mathematica,32,M,19-Jul-13,15-Sep-15,Mathematics
H.,Sadeghi  ,2,1510.07990v1,Acta Mathematica,32,M,19-Jul-13,15-Sep-15,Mathematics
Peter,Sarnak  ,1,1510.08500v2,American Journal of Mathematics,76,M,1-Mar-17,15-Dec-18,Mathematics
Igor,Wigman  ,2,1510.08500v2,American Journal of Mathematics,76,M,1-Mar-17,15-Dec-18,Mathematics
A.,Tayebi  ,1,1511.00927v1,Acta Mathematica,2,M,,26-Oct-15,Mathematics
T.,Tabatabaeifar  ,2,1511.00927v1,Acta Mathematica,2,F,,26-Oct-15,Mathematics
Zhi-Wen,Liu  ,2,1511.04642v1,Acta Mathematica,6,Unk,,15-Nov-15,Mathematics
Yu-Can,Zhu  ,3,1511.04642v1,Acta Mathematica,6,M,,15-Nov-15,Mathematics
Ming-Sheng,Liu  ,1,1511.04642v1,Acta Mathematica,6,M,,15-Nov-15,Mathematics
Susanna,Zimmermann  ,2,1511.08907v1,American Journal of Mathematics,13,F,14-Jan-16,1-Oct-18,Mathematics
Jérémy,Blanc  ,1,1511.08907v1,American Journal of Mathematics,13,M,14-Jan-16,1-Oct-18,Mathematics
Rémi,Boutonnet  ,1,1512.04820v2,American Journal of Mathematics,13,M,11-Jan-16,1-Oct-18,Mathematics
Stefaan,Vaes  ,3,1512.04820v2,American Journal of Mathematics,13,M,11-Jan-16,1-Oct-18,Mathematics
Cyril,Houdayer  ,2,1512.04820v2,American Journal of Mathematics,13,M,11-Jan-16,1-Oct-18,Mathematics
Sameer,M. Ikhdair ,3,1512.08721v1,Acta Mathematica,9,M,15-May-12,3-Nov-15,Mathematics
H.,Mehraban  ,2,1512.08721v1,Acta Mathematica,9,M,15-May-12,3-Nov-15,Mathematics
M.,Eshghi  ,1,1512.08721v1,Acta Mathematica,9,M,15-May-12,3-Nov-15,Mathematics
Marc,Briant  ,1,1601.00326v3,American Journal of Mathematics,21,M,4-Jan-16,6-Jul-16,Mathematics
Esther,Daus  ,2,1601.00326v3,American Journal of Mathematics,21,F,4-Jan-16,6-Jul-16,Mathematics
S.,K. Prajapati ,2,1601.04133v2,Acta Mathematica,0,M,9-Jun-16,19-Dec-16,Mathematics
C.,P. Anil Kumar,1,1601.04133v2,Acta Mathematica,0,M,9-Jun-16,19-Dec-16,Mathematics
Yi,Wang  ,2,1601.05629v1,Acta Mathematica,10,F,30-May-14,15-Mar-15,Mathematics
Hai-Xia,Zhang  ,3,1601.05629v1,Acta Mathematica,10,Unk,30-May-14,15-Mar-15,Mathematics
Hua,Sun  ,1,1601.05629v1,Acta Mathematica,10,Unk,30-May-14,15-Mar-15,Mathematics
Alfredas,Rackauskas  ,2,1602.00461v1,Acta Mathematica,3,M,5-Nov-15,31-Mar-16,Mathematics
Vaidotas,Characiejus  ,1,1602.00461v1,Acta Mathematica,3,M,5-Nov-15,31-Mar-16,Mathematics
Zhizhang,Wang  ,2,1602.06535v1,American Journal of Mathematics,19,M,15-Oct-16,1-Oct-19,Mathematics
Changyu,Ren  ,1,1602.06535v1,American Journal of Mathematics,19,M,15-Oct-16,1-Oct-19,Mathematics
Yin,Zhaoyang  ,2,1603.04148v1,American Journal of Mathematics,1,F,20-Jan-16,29-Dec-16,Mathematics
Luo,Wei  ,1,1603.04148v1,American Journal of Mathematics,1,M,20-Jan-16,29-Dec-16,Mathematics
Jingni,Xiao  ,3,1603.07555v3,American Journal of Mathematics,30,F,,23-May-19,Mathematics
Hongyu,Liu  ,1,1603.07555v3,American Journal of Mathematics,30,M,,23-May-19,Mathematics
Luca,Rondi  ,2,1603.07555v3,American Journal of Mathematics,30,M,,23-May-19,Mathematics
Adrian,Ioana  ,2,1603.07616v1,American Journal of Mathematics,6,M,28-Oct-16,1-Oct-19,Mathematics
Damien,Gaboriau  ,1,1603.07616v1,American Journal of Mathematics,6,M,28-Oct-16,1-Oct-19,Mathematics
Robin,Tucker-Drob  ,3,1603.07616v1,American Journal of Mathematics,6,M,28-Oct-16,1-Oct-19,Mathematics
Farrukh,Mukhamedov  ,2,1603.08621v1,Acta Mathematica,0,M,29-Mar-16,1-Jun-17,Mathematics
Inomjon,Ganiev  ,1,1603.08621v1,Acta Mathematica,0,M,29-Mar-16,1-Jun-17,Mathematics
Donghyun,Lee  ,2,1604.04342v4,American Journal of Mathematics,32,M,1-Jun-16,27-Jun-17,Mathematics
Chanwoo,Kim  ,1,1604.04342v4,American Journal of Mathematics,32,M,1-Jun-16,27-Jun-17,Mathematics
Ryan,Denlinger  ,1,1605.00589v4,American Journal of Mathematics,17,M,23-Feb-17,27-Feb-18,Mathematics
Simona,Rota Nodari ,2,1605.02523v3,American Journal of Mathematics,3,F,2-Feb-18,7-Jul-18,Mathematics
Stephan,De Bievre ,1,1605.02523v3,American Journal of Mathematics,3,M,2-Feb-18,7-Jul-18,Mathematics
Peter,Hintz  ,1,1606.04014v2,Acta Mathematica,125,M,1-Jul-16,1-Mar-18,Mathematics
András,Vasy  ,2,1606.04014v2,Acta Mathematica,125,M,1-Jul-16,1-Mar-18,Mathematics
Stefano,Lisini  ,1,1606.06787v2,American Journal of Mathematics,14,M,21-Jul-16,12-Sep-17,Mathematics
Antonio,Segatti  ,3,1606.06787v2,American Journal of Mathematics,14,M,21-Jul-16,12-Sep-17,Mathematics
Edoardo,Mainini  ,2,1606.06787v2,American Journal of Mathematics,14,M,21-Jul-16,12-Sep-17,Mathematics
Van,Hoang Nguyen ,2,1607.00154v3,Acta Mathematica,15,M,14-Jan-18,12-Jul-18,Mathematics
Quôc-Anh,Ngô  ,1,1607.00154v3,Acta Mathematica,15,M,14-Jan-18,12-Jul-18,Mathematics
Moritz,Egert  ,2,1607.06246v5,American Journal of Mathematics,11,M,,15-Jun-20,Mathematics
Kaj,Nystr{ö}m  ,3,1607.06246v5,American Journal of Mathematics,11,M,,15-Jun-20,Mathematics
Pascal,Auscher  ,1,1607.06246v5,American Journal of Mathematics,11,M,,15-Jun-20,Mathematics
Philip,Korman  ,1,1609.00369v1,Acta Mathematica,2,M,28-Jun-13,22-May-14,Mathematics
Yi,Li  ,2,1609.00369v1,Acta Mathematica,2,M,28-Jun-13,22-May-14,Mathematics
Qiongxiang,Huang  ,2,1609.05419v1,Acta Mathematica,2,Unk,27-Apr-16,27-Feb-17,Mathematics
Xueyi,Huang  ,1,1609.05419v1,Acta Mathematica,2,F,27-Apr-16,27-Feb-17,Mathematics
Lu,Lu  ,3,1609.05419v1,Acta Mathematica,2,F,27-Apr-16,27-Feb-17,Mathematics
Barak,Weiss  ,2,1609.08481v1,American Journal of Mathematics,17,M,,1-Jan-16,Mathematics
Uri,Shapira  ,1,1609.08481v1,American Journal of Mathematics,17,M,,1-Jan-16,Mathematics
Dolores,Lara  ,2,1610.01676v6,Acta Mathematica,0,F,13-Nov-18,25-Jun-19,Mathematics
Christian,Rubio-Montiel  ,3,1610.01676v6,Acta Mathematica,0,M,13-Nov-18,25-Jun-19,Mathematics
Clemens,Huemer  ,1,1610.01676v6,Acta Mathematica,0,M,13-Nov-18,25-Jun-19,Mathematics
C.,Hertling  ,3,1611.07740v1,American Journal of Mathematics,7,Unk,6-Dec-13,8-Oct-15,Mathematics
W.,de Siqueira Pedra,2,1611.07740v1,American Journal of Mathematics,7,M,6-Dec-13,8-Oct-15,Mathematics
J.,#NAME?,1,1611.07740v1,American Journal of Mathematics,7,M,6-Dec-13,8-Oct-15,Mathematics
Eszter,Gselmann  ,1,1612.01365v1,Acta Mathematica,4,F,18-Nov-13,20-Jun-14,Mathematics
Amin,Gholampour  ,1,1701.08902v2,American Journal of Mathematics,25,M,25-Feb-17,1-Apr-20,Mathematics
Shing-Tung,Yau  ,3,1701.08902v2,American Journal of Mathematics,25,M,25-Feb-17,1-Apr-20,Mathematics
Artan,Sheshmani  ,2,1701.08902v2,American Journal of Mathematics,25,M,25-Feb-17,1-Apr-20,Mathematics
Alex,Lubotzky  ,2,1702.05452v2,American Journal of Mathematics,15,M,,27-Jul-20,Mathematics
Ori,Parzanchevski  ,3,1702.05452v2,American Journal of Mathematics,15,M,,27-Jul-20,Mathematics
Eyal,Lubetzky  ,1,1702.05452v2,American Journal of Mathematics,15,M,,27-Jul-20,Mathematics
Erez,Lapid  ,1,1703.09475v1,American Journal of Mathematics,14,M,4-Apr-17,1-Apr-20,Mathematics
Marko,Tadic  ,2,1703.09475v1,American Journal of Mathematics,14,M,4-Apr-17,1-Apr-20,Mathematics
Paolo,Lipparini  ,1,1704.02476v3,Acta Mathematica,6,M,,8-Apr-17,Mathematics
Mihnea,Popa  ,2,1705.01975v2,American Journal of Mathematics,11,M,,6-May-20,Mathematics
Luigi,Lombardi  ,1,1705.01975v2,American Journal of Mathematics,11,M,,6-May-20,Mathematics
Christian,Schnell  ,3,1705.01975v2,American Journal of Mathematics,11,M,,6-May-20,Mathematics
Heiko,Gimperlein  ,1,1706.06839v3,American Journal of Mathematics,9,M,25-Jul-18,8-Jun-21,Mathematics
Magnus,Goffeng  ,2,1706.06839v3,American Journal of Mathematics,9,M,25-Jul-18,8-Jun-21,Mathematics
Xiaoshan,Li  ,3,1706.09762v2,Acta Mathematica,1,M,11-Jul-17,31-May-18,Mathematics
Hendrik,Herrmann  ,1,1706.09762v2,Acta Mathematica,1,M,11-Jul-17,31-May-18,Mathematics
Chin-Yu,Hsiao  ,2,1706.09762v2,Acta Mathematica,1,M,11-Jul-17,31-May-18,Mathematics
Tao,Wang  ,3,1707.02672v2,American Journal of Mathematics,11,M,5-Jul-17,29-Oct-18,Mathematics
Paolo,Secchi  ,2,1707.02672v2,American Journal of Mathematics,11,M,5-Jul-17,29-Oct-18,Mathematics
Gui-Qiang,Chen  ,1,1707.02672v2,American Journal of Mathematics,11,M,5-Jul-17,29-Oct-18,Mathematics
Stéphane,Lamy  ,1,1707.07955v2,American Journal of Mathematics,11,M,,2-Jul-20,Mathematics
Susanna,Zimmermann  ,2,1707.07955v2,American Journal of Mathematics,11,F,,2-Jul-20,Mathematics
Antonin,Chambolle  ,1,1708.03281v2,American Journal of Mathematics,39,M,14-Feb-18,15-Dec-18,Mathematics
Vito,Crismale  ,2,1708.03281v2,American Journal of Mathematics,39,M,14-Feb-18,15-Dec-18,Mathematics
Robert,J. McCann ,1,1709.00632v1,American Journal of Mathematics,10,M,1-Sep-17,14-May-19,Mathematics
Kelvin,Shuangjian Zhang ,2,1709.00632v1,American Journal of Mathematics,10,M,1-Sep-17,14-May-19,Mathematics
Gareth,E. Roberts ,1,1709.01242v1,American Journal of Mathematics,7,M,19-Aug-17,27-Oct-17,Mathematics
Boqiang,Lü  ,3,1709.05608v1,American Journal of Mathematics,4,M,25-Apr-18,5-Jan-21,Mathematics
Cheng,He  ,1,1709.05608v1,American Journal of Mathematics,4,M,25-Apr-18,5-Jan-21,Mathematics
Jing,Li  ,2,1709.05608v1,American Journal of Mathematics,4,F,25-Apr-18,5-Jan-21,Mathematics
E.,Mantovan  ,2,1710.01864v3,American Journal of Mathematics,19,F,19-Jan-18,8-Jan-21,Mathematics
E.,Eischen  ,1,1710.01864v3,American Journal of Mathematics,19,F,19-Jan-18,8-Jan-21,Mathematics
Donghyun,Lee  ,3,1710.03851v4,American Journal of Mathematics,23,M,29-Dec-17,4-Apr-19,Mathematics
Chanwoo,Kim  ,2,1710.03851v4,American Journal of Mathematics,23,M,29-Dec-17,4-Apr-19,Mathematics
Yunbai,Cao  ,1,1710.03851v4,American Journal of Mathematics,23,M,29-Dec-17,4-Apr-19,Mathematics
Martin,Orr  ,1,1710.04092v2,American Journal of Mathematics,5,M,,5-Oct-20,Mathematics
Nguyen,Sum  ,1,1710.06556v1,Acta Mathematica,5,M,,1-Oct-17,Mathematics
Mikael,de la Salle,1,1711.01900v4,Acta Mathematica,0,M,4-Oct-18,1-Sep-19,Mathematics
Marco,Mazzucchelli  ,2,1711.10059v1,American Journal of Mathematics,11,M,24-Apr-18,1-Apr-21,Mathematics
Colin,Guillarmou  ,1,1711.10059v1,American Journal of Mathematics,11,M,24-Apr-18,1-Apr-21,Mathematics
Leo,Tzou  ,3,1711.10059v1,American Journal of Mathematics,11,M,24-Apr-18,1-Apr-21,Mathematics
Alexey,Ovchinnikov  ,1,1712.01412v3,American Journal of Mathematics,7,M,,17-Apr-20,Mathematics
Thomas,Scanlon  ,3,1712.01412v3,American Journal of Mathematics,7,M,,17-Apr-20,Mathematics
Gleb,Pogudin  ,2,1712.01412v3,American Journal of Mathematics,7,M,,17-Apr-20,Mathematics
Ignat,Soroko  ,3,1712.05826v2,American Journal of Mathematics,6,M,20-Dec-17,1-Dec-20,Mathematics
Robert,P Kropholler ,1,1712.05826v2,American Journal of Mathematics,6,M,20-Dec-17,1-Dec-20,Mathematics
Ian,J Leary ,2,1712.05826v2,American Journal of Mathematics,6,M,20-Dec-17,1-Dec-20,Mathematics
Imme,van den Berg,3,1801.02413v1,Acta Mathematica,1,F,8-Jan-18,3-Jan-19,Mathematics
Tran,Van Nam ,2,1801.02413v1,Acta Mathematica,1,M,8-Jan-18,3-Jan-19,Mathematics
Bruno,Dinis  ,1,1801.02413v1,Acta Mathematica,1,M,8-Jan-18,3-Jan-19,Mathematics
Giulio,Tralli  ,2,1801.03961v2,American Journal of Mathematics,10,M,19-Feb-18,13-Mar-19,Mathematics
Farhan,Abedin  ,1,1801.03961v2,American Journal of Mathematics,10,M,19-Feb-18,13-Mar-19,Mathematics
Gabriel,Andreas Dill ,1,1801.05701v5,American Journal of Mathematics,8,M,,18-Mar-21,Mathematics
Siran,Li  ,1,1801.06767v1,American Journal of Mathematics,0,M,22-Jan-18,6-Dec-19,Mathematics
Chee,Yap  ,4,1801.08112v3,American Journal of Mathematics,27,M,1-May-18,17-Jun-20,Mathematics
Alexey,Ovchinnikov  ,2,1801.08112v3,American Journal of Mathematics,27,M,1-May-18,17-Jun-20,Mathematics
Gleb,Pogudin  ,3,1801.08112v3,American Journal of Mathematics,27,M,1-May-18,17-Jun-20,Mathematics
Hoon,Hong  ,1,1801.08112v3,American Journal of Mathematics,27,M,1-May-18,17-Jun-20,Mathematics
Phi,Ha  ,1,1802.01148v2,Acta Mathematica,7,M,17-Dec-17,12-Jul-18,Mathematics
Duong,Ngoc Son ,2,1803.07653v1,Acta Mathematica,4,M,16-Sep-17,8-Jun-18,Mathematics
Song-Ying,Li  ,1,1803.07653v1,Acta Mathematica,4,M,16-Sep-17,8-Jun-18,Mathematics
José,F. Fernando ,1,1805.10834v2,American Journal of Mathematics,0,M,,1-May-18,Mathematics
Riccardo,Ghiloni  ,2,1805.10834v2,American Journal of Mathematics,0,M,,1-May-18,Mathematics
Qing-Wen,Wang  ,1,1806.00002v1,Acta Mathematica,5,M,8-Dec-17,7-Jun-18,Mathematics
Fuzhen,Zhang  ,2,1806.00002v1,Acta Mathematica,5,M,8-Dec-17,7-Jun-18,Mathematics
De-Qi,Zhang  ,2,1806.07747v2,Acta Mathematica,4,M,19-Jun-18,15-May-19,Mathematics
Sheng,Meng  ,1,1806.07747v2,Acta Mathematica,4,M,19-Jun-18,15-May-19,Mathematics
Sándor,Radeleczki  ,2,1806.09203v3,Acta Mathematica,0,M,2-Mar-19,4-Sep-19,Mathematics
Jouni,Järvinen  ,1,1806.09203v3,Acta Mathematica,0,M,2-Mar-19,4-Sep-19,Mathematics
Matthew,Rigby  ,2,1807.06646v1,Acta Mathematica,3,M,3-Jun-18,23-Jul-18,Mathematics
Gui-Qiang,G. Chen ,1,1807.06646v1,Acta Mathematica,3,M,3-Jun-18,23-Jul-18,Mathematics
Arash,Yavari  ,1,1807.10403v1,American Journal of Mathematics,8,M,26-Jul-18,16-May-19,Mathematics
Ashkan,Golgoon  ,2,1807.10403v1,American Journal of Mathematics,8,M,26-Jul-18,16-May-19,Mathematics
Huy,Tai Ha ,1,1808.05899v2,Acta Mathematica,12,M,5-Jul-18,12-Feb-19,Mathematics
Ngo,Viet Trung ,2,1808.05899v2,Acta Mathematica,12,F,5-Jul-18,12-Feb-19,Mathematics
Yu,Gu  ,2,1808.07557v3,American Journal of Mathematics,16,M,22-Aug-18,24-Aug-21,Mathematics
Lenya,Ryzhik  ,3,1808.07557v3,American Journal of Mathematics,16,F,22-Aug-18,24-Aug-21,Mathematics
Alexander,Dunlap  ,1,1808.07557v3,American Journal of Mathematics,16,M,22-Aug-18,24-Aug-21,Mathematics
Ofer,Zeitouni  ,4,1808.07557v3,American Journal of Mathematics,16,M,22-Aug-18,24-Aug-21,Mathematics
David,Eisenbud  ,1,1809.03059v1,Acta Mathematica,3,M,16-Jun-18,2-Oct-18,Mathematics
Alessio,Sammartano  ,2,1809.03059v1,Acta Mathematica,3,M,16-Jun-18,2-Oct-18,Mathematics
Inwon,Kim  ,2,1809.09343v1,American Journal of Mathematics,2,M,8-Dec-18,17-Jul-19,Mathematics
Hongwei,Gao  ,1,1809.09343v1,American Journal of Mathematics,2,M,8-Dec-18,17-Jul-19,Mathematics
Gerhard,Rein  ,3,1810.00809v3,American Journal of Mathematics,6,M,10-Jun-20,10-May-21,Mathematics
Mahir,Hadzic  ,1,1810.00809v3,American Journal of Mathematics,6,M,10-Jun-20,10-May-21,Mathematics
Zhiwu,Lin  ,2,1810.00809v3,American Journal of Mathematics,6,M,10-Jun-20,10-May-21,Mathematics
Antoine,Levitt  ,1,1810.03342v2,American Journal of Mathematics,7,M,16-Oct-18,31-Jul-20,Mathematics
Jörg,Neunhäuserer  ,1,1810.12622v1,Acta Mathematica,1,M,25-May-05,4-Jan-14,Mathematics
Moti,Gitik  ,2,1812.05291v1,Acta Mathematica,5,M,11-Mar-19,4-Sep-19,Mathematics
Saharon,Shelah  ,3,1812.05291v1,Acta Mathematica,5,M,11-Mar-19,4-Sep-19,Mathematics
Shimon,Garti  ,1,1812.05291v1,Acta Mathematica,5,M,11-Mar-19,4-Sep-19,Mathematics
Chao,Liu  ,2,1812.07779v3,Acta Mathematica,0,M,,19-Dec-18,Mathematics
Hongya,Gao  ,1,1812.07779v3,Acta Mathematica,0,F,,19-Dec-18,Mathematics
Junwei,Li  ,3,1812.07779v3,Acta Mathematica,0,M,,19-Dec-18,Mathematics
Wei,Ren  ,1,1901.02137v2,Acta Mathematica,0,M,,8-Jan-19,Mathematics
Christoph,Walker  ,2,1901.07257v2,American Journal of Mathematics,8,M,28-Nov-19,10-Apr-20,Mathematics
Philippe,Laurençot  ,1,1901.07257v2,American Journal of Mathematics,8,M,28-Nov-19,10-Apr-20,Mathematics
Robert,Seiringer  ,2,1901.11363v3,American Journal of Mathematics,9,M,22-Feb-19,9-Mar-20,Mathematics
Andreas,Deuchert  ,1,1901.11363v3,American Journal of Mathematics,9,M,22-Feb-19,9-Mar-20,Mathematics
Paolo,Piovano  ,2,1902.06535v4,American Journal of Mathematics,5,M,18-Feb-19,20-Jun-20,Mathematics
Shokhrukh,Yu. Kholmatov ,1,1902.06535v4,American Journal of Mathematics,5,M,18-Feb-19,20-Jun-20,Mathematics
Li-Xin,Zhang  ,1,1902.10872v1,Acta Mathematica,11,M,18-Nov-18,15-Feb-20,Mathematics
Tomáš,Masarík  ,1,1903.01460v1,Acta Mathematica,4,M,,4-Mar-19,Mathematics
